"filename", "language", "Python", "JSON with Comments", "JSON", "Markdown", "codediagram", "comment", "blank", "total"
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\README.md", "Markdown", 0, 0, 0, 59, 0, 0, 41, 100
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\docs\MVC classes.codediagram", "codediagram", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\docs\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\_all_paths_.py", "Python", 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\assets\dialogs\en-en.json", "JSON", 0, 0, 177, 0, 0, 0, 12, 189
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\assets\dialogs\fr-fr.json", "JSON", 0, 0, 180, 0, 0, 0, 12, 192
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\assets\pokemons\battle_biomes.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 67
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\assets\pokemons\pokemon.json", "JSON", 0, 0, 447, 0, 0, 0, 42, 489
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\assets\pokemons\types_chart.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\control.py", "Python", 89, 0, 0, 0, 0, 0, 13, 102
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\in_game_controllers\in_battle_controller.py", "Python", 181, 0, 0, 0, 0, 0, 23, 204
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\in_game_controllers\launch_menu_controller.py", "Python", 203, 0, 0, 0, 0, 0, 13, 216
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\in_game_controllers\new_game_controller.py", "Python", 46, 0, 0, 0, 0, 0, 5, 51
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\models_controller.py", "Python", 25, 0, 0, 0, 0, 0, 7, 32
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\control\settings.py", "Python", 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\in_game_models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\in_game_models\in_battle.py", "Python", 326, 0, 0, 0, 0, 0, 25, 351
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\in_game_models\launch_menu.py", "Python", 106, 0, 0, 0, 0, 0, 9, 115
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\in_game_models\new_game.py", "Python", 63, 0, 0, 0, 0, 0, 9, 72
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\main_menu_models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\main_menu_models\load_menu.py", "Python", 82, 0, 0, 0, 0, 0, 14, 96
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\main_menu_models\preferences_menu.py", "Python", 116, 0, 0, 0, 0, 0, 18, 134
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\main_menu_models\title_menu.py", "Python", 70, 0, 0, 0, 0, 0, 9, 79
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\menu_models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\menu_models\input_menu_model.py", "Python", 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\menu_models\option_menu_model.py", "Python", 302, 0, 0, 0, 0, 0, 22, 324
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\pokemons\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\pokemons\battle.py", "Python", 144, 0, 0, 0, 0, 0, 14, 158
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\pokemons\pokedex.py", "Python", 106, 0, 0, 0, 0, 0, 13, 119
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\models\pokemons\pokemons.py", "Python", 70, 0, 0, 0, 0, 0, 7, 77
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\save_1_pokedex.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\save_2_pokedex.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\save_3_pokedex.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\saves\settings.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 0, 38
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\display.py", "Python", 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\game_menues_display.py", "Python", 225, 0, 0, 0, 0, 0, 26, 251
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\game_menues_sounds.py", "Python", 71, 0, 0, 0, 0, 0, 13, 84
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\in_battle_display.py", "Python", 740, 0, 0, 0, 0, 1, 40, 781
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\launch_menu_display.py", "Python", 359, 0, 0, 0, 0, 0, 24, 383
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\in_game_views\new_game_display.py", "Python", 66, 0, 0, 0, 0, 0, 10, 76
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\main_menu_views\main_menues_display.py", "Python", 116, 0, 0, 0, 0, 0, 18, 134
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\main_menu_views\main_menues_sounds.py", "Python", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\game\views\sounds.py", "Python", 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\josur\OneDrive\Documents\Vaults\Plateforme\Perso Hors-ligne\pocket_project\main.py", "Python", 23, 0, 0, 0, 0, 0, 8, 31
"Total", "-", 3730, 38, 911, 61, 1, 1, 495, 5237